Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,1875.000000,1898.010010,1864.150024,1898.010010,1898.010010,4029000
2020-01-03,1864.500000,1886.199951,1864.500000,1874.969971,1874.969971,3764400
2020-01-06,1860.000000,1903.689941,1860.000000,1902.880005,1902.880005,4061800
2020-01-07,1904.500000,1913.890015,1892.040039,1906.859985,1906.859985,4044900
2020-01-08,1898.040039,1911.000000,1886.439941,1891.969971,1891.969971,3508000
2020-01-09,1909.890015,1917.819946,1895.800049,1901.050049,1901.050049,3167300
2020-01-10,1905.369995,1906.939941,1880.000000,1883.160034,1883.160034,2853700
2020-01-13,1891.310059,1898.000000,1880.800049,1891.300049,1891.300049,2780800
2020-01-14,1885.880005,1887.109985,1858.550049,1869.439941,1869.439941,3440900
2020-01-15,1872.250000,1878.859985,1855.089966,1862.020020,1862.020020,2896600
2020-01-16,1882.989990,1885.589966,1866.020020,1877.939941,1877.939941,2659500
2020-01-17,1885.890015,1886.640015,1857.250000,1864.719971,1864.719971,3997300
2020-01-21,1865.000000,1894.270020,1860.000000,1892.000000,1892.000000,3707800
2020-01-22,1896.089966,1902.500000,1883.339966,1887.459961,1887.459961,3216300
2020-01-23,1885.109985,1889.979980,1872.760010,1884.579956,1884.579956,2484600
2020-01-24,1891.369995,1894.989990,1847.439941,1861.640015,1861.640015,3766200
2020-01-27,1820.000000,1841.000000,1815.339966,1828.339966,1828.339966,3528500
2020-01-28,1840.500000,1858.109985,1830.020020,1853.250000,1853.250000,2808000
2020-01-29,1864.000000,1874.750000,1855.020020,1858.000000,1858.000000,2088000
2020-01-30,1858.000000,1872.869995,1850.609985,1870.680054,1870.680054,6327400
2020-01-31,2051.469971,2055.719971,2002.270020,2008.719971,2008.719971,15567300
2020-02-03,2010.599976,2048.500000,2000.250000,2004.199951,2004.199951,5899100
2020-02-04,2029.880005,2059.800049,2015.369995,2049.669922,2049.669922,5289300
2020-02-05,2071.020020,2071.020020,2032.000000,2039.869995,2039.869995,4376200
2020-02-06,2041.020020,2056.300049,2024.800049,2050.229980,2050.229980,3183000
2020-02-07,2041.989990,2098.530029,2038.099976,2079.280029,2079.280029,5095300
2020-02-10,2085.010010,2135.600098,2084.959961,2133.909912,2133.909912,5056200
2020-02-11,2150.899902,2185.949951,2136.000000,2150.800049,2150.800049,5746000
2020-02-12,2163.199951,2180.250000,2155.290039,2160.000000,2160.000000,3334300
2020-02-13,2144.989990,2170.280029,2142.000000,2149.870117,2149.870117,3031800
2020-02-14,2155.679932,2159.040039,2125.889893,2134.870117,2134.870117,2606200
2020-02-18,2125.020020,2166.070068,2124.110107,2155.669922,2155.669922,2945600
2020-02-19,2167.800049,2185.100098,2161.120117,2170.219971,2170.219971,2561200
2020-02-20,2173.070068,2176.790039,2127.449951,2153.100098,2153.100098,3131300
2020-02-21,2142.149902,2144.550049,2088.000000,2095.969971,2095.969971,4646300
2020-02-24,2003.180054,2039.300049,1987.969971,2009.290039,2009.290039,6547000
2020-02-25,2026.420044,2034.599976,1958.420044,1972.739990,1972.739990,6219100
2020-02-26,1970.280029,2014.670044,1960.449951,1979.589966,1979.589966,5224600
2020-02-27,1934.380005,1975.000000,1882.760010,1884.300049,1884.300049,8112100
2020-02-28,1814.630005,1889.760010,1811.130005,1883.750000,1883.750000,9493800
2020-03-02,1906.489990,1954.510010,1870.000000,1953.949951,1953.949951,6761700
2020-03-03,1975.369995,1996.329956,1888.089966,1908.989990,1908.989990,7534500
2020-03-04,1946.569946,1978.000000,1922.000000,1975.829956,1975.829956,4772900
2020-03-05,1933.000000,1960.719971,1910.000000,1924.030029,1924.030029,4748200
2020-03-06,1875.000000,1910.869995,1869.500000,1901.089966,1901.089966,5273600
2020-03-09,1773.859985,1862.770020,1761.290039,1800.609985,1800.609985,7813200
2020-03-10,1870.880005,1894.270020,1818.170044,1891.819946,1891.819946,7133300
2020-03-11,1857.849976,1871.319946,1801.500000,1820.859985,1820.859985,5624800
2020-03-12,1721.979980,1765.000000,1675.000000,1676.609985,1676.609985,11346200
